"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,108,"IRQ","Iraq",1,"Al-Anbar","Muhafazah","Province",NA,"Dulaim|Ramadi"
2,108,"IRQ","Iraq",2,"Al-Basrah","Muhafazah","Province",NA,"Basra|Bassora"
3,108,"IRQ","Iraq",3,"Al-Muthannia","Muhafazah","Province",NA,"Al-Muthanna"
4,108,"IRQ","Iraq",4,"Al-Qadisiyah","Muhafazah","Province",NA,"Diwaniyah"
5,108,"IRQ","Iraq",5,"An-Najaf","Muhafazah","Province",NA,NA
6,108,"IRQ","Iraq",6,"Arbil","Muhafazah","Province",NA,"Arbela|Erbil|Irbil"
7,108,"IRQ","Iraq",7,"As-Sulaymaniyah","Muhafazah","Province",NA,NA
8,108,"IRQ","Iraq",8,"At-Ta'mim","Muhafazah","Province",NA,"Kirkuk|Tamin"
9,108,"IRQ","Iraq",9,"Babil","Muhafazah","Province",NA,"Babylon|Hilla"
10,108,"IRQ","Iraq",10,"Baghdad","Muhafazah","Province",NA,"Bagd |Bagdad"
11,108,"IRQ","Iraq",11,"Dhi-Qar","Muhafazah","Province",NA,"Dhi Qar|Muntafiq|Nasiriyah|Thi-Qar"
12,108,"IRQ","Iraq",12,"Dihok","Muhafazah","Province",NA,"Dahuk|D'hok"
13,108,"IRQ","Iraq",13,"Diyala","Muhafazah","Province",NA,NA
14,108,"IRQ","Iraq",14,"Karbala'","Muhafazah","Province",NA,"Kerbela"
15,108,"IRQ","Iraq",15,"Maysan","Muhafazah","Province",NA,"`Amara"
16,108,"IRQ","Iraq",16,"Ninawa","Muhafazah","Province",NA,"Al-Mawsil|Mosul|Ninive|N¡nive|Nineveh|Niniveh"
17,108,"IRQ","Iraq",17,"Sala ad-Din","Muhafazah","Province",NA,"Salah ad-Din|Salaheddin"
18,108,"IRQ","Iraq",18,"Wasit","Muhafazah","Province",NA,"Kut|Kut-al-Imara"
